Metric Name,OID,Description,Interface Type,Admin Status,Oper Status,Inbound Octets,Outbound Octets,Inbound Errors,Outbound Errors
ifMetric_1fd7adfc,1.3.6.1.2.1.97.81,Inbound traffic errors,Loopback,Down,Up,842892664,556352154,78,27
ifMetric_a6694d18,1.3.6.1.2.1.49.19,Operational status of interface,Loopback,Down,Unknown,112535790,2175588,897,866
ifMetric_8358b28d,1.3.6.1.2.1.62.15,Operational status of interface,PPP,Down,Unknown,715768800,170146726,646,282
ifMetric_aa12a9e8,1.3.6.1.2.1.45.8,Operational status of interface,ATM,Testing,Up,89483290,525684166,954,827
ifMetric_04c1ba35,1.3.6.1.2.1.83.50,Administrative status of interface,Loopback,Up,Down,394258289,626460247,221,735
ifMetric_015fa386,1.3.6.1.2.1.1.7,MAC address of interface,WiFi,Up,Down,921401289,175575121,366,15
ifMetric_6aded36b,1.3.6.1.2.1.82.77,Inbound traffic errors,WiFi,Down,Down,268642914,342973116,344,486
ifMetric_09bdfda0,1.3.6.1.2.1.37.48,Inbound traffic errors,Ethernet,Up,Up,117786819,441493324,799,302
ifMetric_d430cc68,1.3.6.1.2.1.7.17,Administrative status of interface,Ethernet,Up,Up,588901417,817855635,159,688
ifMetric_91658439,1.3.6.1.2.1.60.37,Counter for outbound errors,Ethernet,Testing,Down,866555714,283761398,255,975
ifMetric_cd6f59e2,1.3.6.1.2.1.86.92,Inbound traffic errors,Loopback,Testing,Unknown,736815343,336472821,834,252
ifMetric_630024a4,1.3.6.1.2.1.38.91,Administrative status of interface,ATM,Testing,Down,305120771,957864631,897,518
ifMetric_c4ff4acd,1.3.6.1.2.1.34.1,High-capacity counter for inbound traffic,ATM,Testing,Unknown,216150170,269455283,453,79
ifMetric_0b1d3480,1.3.6.1.2.1.55.76,Inbound traffic errors,WiFi,Up,Up,614417314,128259813,522,165
ifMetric_353afd16,1.3.6.1.2.1.11.25,Inbound traffic errors,Loopback,Testing,Up,117360232,791327052,152,267
ifMetric_23fce74e,1.3.6.1.2.1.25.39,Inbound traffic errors,PPP,Down,Unknown,619670222,317985389,427,371
ifMetric_930c7627,1.3.6.1.2.1.72.12,Operational status of interface,ATM,Testing,Down,556600832,894625337,778,121
ifMetric_f3c9c58d,1.3.6.1.2.1.84.43,Administrative status of interface,Loopback,Down,Up,928282564,695914587,895,954
ifMetric_1a29ed16,1.3.6.1.2.1.73.72,High-capacity counter for inbound traffic,WiFi,Up,Up,830101976,830585410,144,721
ifMetric_89c7185c,1.3.6.1.2.1.27.61,Inbound traffic errors,Loopback,Testing,Unknown,378538231,719975347,48,435
ifMetric_6e1f569c,1.3.6.1.2.1.67.20,Operational status of interface,Loopback,Down,Unknown,114201363,288557663,131,371
ifMetric_e4a04c84,1.3.6.1.2.1.92.61,High-capacity counter for inbound traffic,PPP,Down,Down,842376406,715821807,370,376
ifMetric_a640bff1,1.3.6.1.2.1.47.30,Operational status of interface,Loopback,Testing,Down,648317568,167596474,578,503
ifMetric_e0abf1e2,1.3.6.1.2.1.31.55,Counter for outbound errors,Ethernet,Down,Down,933994230,475349896,206,533
ifMetric_3d33c7ab,1.3.6.1.2.1.93.22,Counter for outbound errors,ATM,Up,Up,755519134,325671641,493,380
ifMetric_39377841,1.3.6.1.2.1.34.61,Operational status of interface,WiFi,Down,Down,651318975,76279549,88,322
ifMetric_2d57a41e,1.3.6.1.2.1.49.68,Counter for outbound errors,PPP,Up,Up,773446303,945302702,322,200
ifMetric_75393670,1.3.6.1.2.1.6.87,MAC address of interface,ATM,Down,Up,983657830,122518487,251,747
ifMetric_632a8d03,1.3.6.1.2.1.38.27,High-capacity counter for inbound traffic,WiFi,Testing,Up,757614144,872811401,443,543
ifMetric_69fb9b90,1.3.6.1.2.1.9.38,Administrative status of interface,Ethernet,Up,Up,710172438,762527824,8,475
ifMetric_c2ecb30b,1.3.6.1.2.1.38.99,MAC address of interface,ATM,Up,Down,311605199,252207165,847,114
ifMetric_a3c20104,1.3.6.1.2.1.31.99,Counter for outbound errors,ATM,Testing,Up,88126123,947677093,760,100
ifMetric_5441f8da,1.3.6.1.2.1.52.13,Inbound traffic errors,Loopback,Down,Down,46678841,378965532,750,275
ifMetric_20d3d8d3,1.3.6.1.2.1.87.42,Operational status of interface,Ethernet,Down,Unknown,66251600,690057694,258,702
ifMetric_cb5f3de3,1.3.6.1.2.1.100.26,MAC address of interface,WiFi,Down,Down,669813925,634792872,757,72
ifMetric_69799b2f,1.3.6.1.2.1.93.83,Operational status of interface,Ethernet,Up,Up,373453230,600220373,478,735
ifMetric_1658a18d,1.3.6.1.2.1.67.11,Counter for outbound errors,Loopback,Down,Down,915081643,859865928,153,584
ifMetric_744b5584,1.3.6.1.2.1.82.49,High-capacity counter for inbound traffic,ATM,Up,Unknown,404121656,550163731,335,195
ifMetric_9d6e7345,1.3.6.1.2.1.58.24,Inbound traffic errors,Loopback,Up,Down,769578726,513036840,712,736
ifMetric_65d13c2b,1.3.6.1.2.1.85.61,Administrative status of interface,ATM,Up,Up,565220523,579304828,800,311
ifMetric_6bdc8cfc,1.3.6.1.2.1.93.67,Counter for outbound errors,ATM,Up,Unknown,853211892,893461853,181,781
ifMetric_4b84916d,1.3.6.1.2.1.49.80,High-capacity counter for inbound traffic,Ethernet,Testing,Up,974294591,515205705,291,624
ifMetric_4cf9a7ce,1.3.6.1.2.1.30.15,Operational status of interface,PPP,Down,Up,164078120,911184558,935,400
ifMetric_93b9a14f,1.3.6.1.2.1.7.13,Inbound traffic errors,WiFi,Down,Down,277223933,811551199,160,666
ifMetric_6a5e98b7,1.3.6.1.2.1.45.78,Counter for outbound errors,Ethernet,Testing,Unknown,979170847,855024556,404,504
ifMetric_a81b5996,1.3.6.1.2.1.7.63,Counter for outbound errors,Ethernet,Down,Down,878511161,485000842,988,864
ifMetric_6772f3b4,1.3.6.1.2.1.21.25,Counter for outbound errors,WiFi,Testing,Unknown,353254457,235985864,443,159
ifMetric_10084e20,1.3.6.1.2.1.78.79,Counter for outbound errors,Loopback,Down,Unknown,466168718,437961321,786,72
ifMetric_fabd9e0c,1.3.6.1.2.1.71.15,MAC address of interface,WiFi,Down,Up,992574429,686171497,468,841
ifMetric_9b32f6b1,1.3.6.1.2.1.65.84,Counter for outbound errors,PPP,Testing,Up,817452454,474050810,496,830
ifMetric_89d3a940,1.3.6.1.2.1.3.48,Counter for outbound errors,Ethernet,Up,Down,865091426,552237612,731,863
ifMetric_90ebbc1b,1.3.6.1.2.1.88.17,Counter for outbound errors,WiFi,Up,Up,570331266,3751630,916,907
ifMetric_c5dc91d0,1.3.6.1.2.1.53.52,High-capacity counter for inbound traffic,WiFi,Down,Up,871426690,792107857,883,722
ifMetric_55aed769,1.3.6.1.2.1.25.11,Inbound traffic errors,Ethernet,Up,Down,550805582,513291437,883,349
ifMetric_4b86d671,1.3.6.1.2.1.65.5,Counter for outbound errors,Ethernet,Testing,Down,521521903,961696327,516,393
ifMetric_0ce8b315,1.3.6.1.2.1.25.75,Operational status of interface,PPP,Testing,Up,498078524,870343836,200,478
ifMetric_386ce0a6,1.3.6.1.2.1.2.61,Inbound traffic errors,Ethernet,Up,Unknown,551062654,804940431,463,171
ifMetric_1a64b8a9,1.3.6.1.2.1.38.58,Counter for outbound errors,Loopback,Down,Unknown,161068176,402041437,645,662
ifMetric_60807d4a,1.3.6.1.2.1.65.90,Administrative status of interface,ATM,Testing,Down,799326481,13408607,825,45
ifMetric_f7ff0654,1.3.6.1.2.1.2.61,Inbound traffic errors,Ethernet,Testing,Unknown,680423800,954508557,892,943
ifMetric_84db2012,1.3.6.1.2.1.6.24,MAC address of interface,Ethernet,Testing,Up,56907336,145796029,942,933
ifMetric_cdcc5c5e,1.3.6.1.2.1.32.31,Operational status of interface,WiFi,Up,Down,825249840,730110975,207,187
ifMetric_a03cc04f,1.3.6.1.2.1.98.84,Inbound traffic errors,Loopback,Up,Unknown,95413030,99889658,316,490
ifMetric_deada4ff,1.3.6.1.2.1.17.18,Counter for outbound errors,Loopback,Up,Unknown,417670915,625830113,524,700
ifMetric_dd296a66,1.3.6.1.2.1.16.38,Administrative status of interface,Ethernet,Down,Down,671941126,869835609,129,204
ifMetric_b169e95c,1.3.6.1.2.1.31.10,Inbound traffic errors,WiFi,Testing,Up,981462560,385164818,733,783
ifMetric_f979e718,1.3.6.1.2.1.77.2,Administrative status of interface,WiFi,Up,Down,556303924,687538929,282,765
ifMetric_129b30b5,1.3.6.1.2.1.93.68,Inbound traffic errors,WiFi,Up,Down,982743945,415141817,731,931
ifMetric_238682c4,1.3.6.1.2.1.34.68,Counter for outbound errors,WiFi,Down,Down,193583466,230419149,1000,392
ifMetric_d1966d9a,1.3.6.1.2.1.68.54,Administrative status of interface,WiFi,Down,Unknown,627858369,365588589,39,878
ifMetric_b859529b,1.3.6.1.2.1.46.77,Inbound traffic errors,WiFi,Up,Down,403069989,506492988,396,190
ifMetric_759cc814,1.3.6.1.2.1.18.99,MAC address of interface,ATM,Up,Up,61905728,46930982,204,952
ifMetric_41b62611,1.3.6.1.2.1.79.36,Counter for outbound errors,WiFi,Up,Up,859615022,285351655,11,402
ifMetric_8d529640,1.3.6.1.2.1.78.81,Inbound traffic errors,ATM,Testing,Down,49500075,357636127,517,37
ifMetric_3cb52ee2,1.3.6.1.2.1.70.32,High-capacity counter for inbound traffic,PPP,Testing,Unknown,454159821,772841466,71,669
ifMetric_94fc3ca4,1.3.6.1.2.1.29.14,Operational status of interface,PPP,Down,Up,620377291,913263488,90,484
ifMetric_df0221b0,1.3.6.1.2.1.12.62,Operational status of interface,Loopback,Testing,Down,774391970,86946972,593,157
ifMetric_32ec27c5,1.3.6.1.2.1.95.81,MAC address of interface,WiFi,Testing,Unknown,288235017,861611584,953,676
ifMetric_bb8196db,1.3.6.1.2.1.9.43,MAC address of interface,Ethernet,Testing,Unknown,399746603,887577266,88,987
ifMetric_96954432,1.3.6.1.2.1.82.66,High-capacity counter for inbound traffic,PPP,Up,Unknown,234002763,697034793,656,410
ifMetric_2bbb0e0f,1.3.6.1.2.1.91.71,High-capacity counter for inbound traffic,WiFi,Down,Up,583223347,29632435,386,217
ifMetric_2f53363f,1.3.6.1.2.1.48.10,Inbound traffic errors,Loopback,Testing,Up,128628506,478830234,83,209
ifMetric_8642c43f,1.3.6.1.2.1.11.56,Inbound traffic errors,PPP,Testing,Unknown,676990130,269904410,660,911
ifMetric_5472e8f0,1.3.6.1.2.1.37.48,MAC address of interface,Loopback,Testing,Up,510072763,372052405,731,155
ifMetric_3d794ee2,1.3.6.1.2.1.85.95,Inbound traffic errors,Ethernet,Testing,Down,94378306,965414118,824,925
ifMetric_587211f4,1.3.6.1.2.1.94.21,Administrative status of interface,WiFi,Testing,Down,374085794,141273016,983,323
ifMetric_1ad930de,1.3.6.1.2.1.92.45,High-capacity counter for inbound traffic,WiFi,Up,Down,875969616,534787104,242,368
ifMetric_5f667c11,1.3.6.1.2.1.56.8,Operational status of interface,Loopback,Testing,Up,701624906,44275051,782,977
ifMetric_eb3d837e,1.3.6.1.2.1.80.68,MAC address of interface,PPP,Testing,Down,551929641,110225737,201,971
ifMetric_777dd992,1.3.6.1.2.1.21.80,Operational status of interface,WiFi,Testing,Up,200103379,852009120,5,910
ifMetric_33798574,1.3.6.1.2.1.6.9,High-capacity counter for inbound traffic,ATM,Up,Down,846072213,263598070,769,938
ifMetric_984460be,1.3.6.1.2.1.64.33,Counter for outbound errors,Ethernet,Up,Up,469015312,948171733,255,784
ifMetric_6536735f,1.3.6.1.2.1.43.78,High-capacity counter for inbound traffic,WiFi,Testing,Unknown,853643961,96977892,278,751
ifMetric_414ba821,1.3.6.1.2.1.40.94,Administrative status of interface,Loopback,Up,Down,821545956,480980433,328,430
ifMetric_4d4f924f,1.3.6.1.2.1.91.29,Administrative status of interface,Loopback,Up,Up,24685639,31617688,753,259
ifMetric_6087ed3f,1.3.6.1.2.1.52.96,High-capacity counter for inbound traffic,PPP,Down,Up,221088481,767235272,31,99
ifMetric_8f7f2d69,1.3.6.1.2.1.69.12,MAC address of interface,WiFi,Testing,Up,379631641,758888520,64,432
ifMetric_b96428c8,1.3.6.1.2.1.24.54,Inbound traffic errors,ATM,Up,Down,232028455,109932503,293,206
ifMetric_b54336c0,1.3.6.1.2.1.80.45,Inbound traffic errors,PPP,Testing,Up,253608302,296447226,258,997
ifMetric_6b86f981,1.3.6.1.2.1.82.37,High-capacity counter for inbound traffic,ATM,Up,Unknown,87397616,425152972,315,623
ifMetric_f4674675,1.3.6.1.2.1.19.34,MAC address of interface,ATM,Down,Unknown,298238384,3298584,405,861
ifMetric_efb558b5,1.3.6.1.2.1.46.61,MAC address of interface,Ethernet,Down,Down,11050848,323867977,356,625
ifMetric_8dcd6260,1.3.6.1.2.1.77.10,MAC address of interface,Loopback,Testing,Down,412358385,489263748,489,98
ifMetric_4e20e25e,1.3.6.1.2.1.98.18,High-capacity counter for inbound traffic,WiFi,Up,Unknown,605759029,176909118,29,233
ifMetric_0073138c,1.3.6.1.2.1.97.38,Operational status of interface,WiFi,Up,Down,737758065,240005931,6,517
ifMetric_7bcc6861,1.3.6.1.2.1.41.59,Administrative status of interface,PPP,Testing,Unknown,609190744,167539828,764,368
ifMetric_cdcded0b,1.3.6.1.2.1.58.59,High-capacity counter for inbound traffic,PPP,Testing,Unknown,108352605,180654772,484,112
ifMetric_2827e04a,1.3.6.1.2.1.85.59,MAC address of interface,PPP,Testing,Up,883947652,796694336,997,459
ifMetric_fdeffc67,1.3.6.1.2.1.100.41,High-capacity counter for inbound traffic,Ethernet,Up,Unknown,57776182,35659123,998,814
ifMetric_8f3c6cba,1.3.6.1.2.1.1.37,High-capacity counter for inbound traffic,Loopback,Up,Up,447532638,396739732,563,427
ifMetric_977cc15a,1.3.6.1.2.1.51.48,MAC address of interface,ATM,Up,Unknown,516886294,698083799,86,563
ifMetric_62213790,1.3.6.1.2.1.66.50,High-capacity counter for inbound traffic,WiFi,Testing,Up,797862571,323287537,646,466
ifMetric_b9f4833d,1.3.6.1.2.1.35.76,Counter for outbound errors,ATM,Up,Up,840722938,929755462,328,601
ifMetric_f61c464e,1.3.6.1.2.1.52.8,Counter for outbound errors,WiFi,Up,Unknown,272038054,75473156,33,675
ifMetric_8fbbf227,1.3.6.1.2.1.34.13,High-capacity counter for inbound traffic,WiFi,Up,Up,459708480,570728097,575,808
ifMetric_15271e96,1.3.6.1.2.1.70.85,Counter for outbound errors,Ethernet,Up,Down,408104427,106678808,115,426
ifMetric_3657cf67,1.3.6.1.2.1.47.84,Administrative status of interface,WiFi,Testing,Unknown,533190560,566932383,609,704
ifMetric_cb4f5ca2,1.3.6.1.2.1.81.13,Counter for outbound errors,PPP,Down,Up,495788319,843137025,964,21
ifMetric_4b971333,1.3.6.1.2.1.5.12,High-capacity counter for inbound traffic,Loopback,Testing,Unknown,382385020,356725951,0,304
ifMetric_03341519,1.3.6.1.2.1.92.1,High-capacity counter for inbound traffic,WiFi,Testing,Unknown,276625240,519725953,642,644
ifMetric_68161d68,1.3.6.1.2.1.79.51,Operational status of interface,Loopback,Down,Unknown,765935341,66811292,904,784
ifMetric_1ea56874,1.3.6.1.2.1.53.54,High-capacity counter for inbound traffic,Loopback,Up,Unknown,36992178,294495124,653,377
ifMetric_8204eb4e,1.3.6.1.2.1.85.89,Counter for outbound errors,Ethernet,Down,Down,280961989,605060780,898,738
ifMetric_dcc4fc6e,1.3.6.1.2.1.12.24,Administrative status of interface,Loopback,Testing,Down,243001312,362397422,602,558
ifMetric_b0915abe,1.3.6.1.2.1.81.29,High-capacity counter for inbound traffic,PPP,Down,Up,324999709,571262927,831,3
ifMetric_01c7a67a,1.3.6.1.2.1.80.11,Operational status of interface,Ethernet,Up,Unknown,389690016,983105380,628,920
ifMetric_4468b5c1,1.3.6.1.2.1.92.70,Operational status of interface,ATM,Up,Up,697494394,973655306,443,87
ifMetric_dfe94747,1.3.6.1.2.1.22.15,Inbound traffic errors,PPP,Up,Down,950146946,322051505,3,911
ifMetric_0616f167,1.3.6.1.2.1.86.38,Operational status of interface,WiFi,Up,Up,70323222,851261945,60,701
ifMetric_cc3ed408,1.3.6.1.2.1.10.77,High-capacity counter for inbound traffic,ATM,Down,Down,917284268,636130729,78,887
ifMetric_97d44399,1.3.6.1.2.1.71.86,Counter for outbound errors,ATM,Down,Up,267435913,388908264,577,880
ifMetric_7601dd66,1.3.6.1.2.1.67.64,Administrative status of interface,ATM,Up,Up,649954807,520732617,753,133
ifMetric_7a75db85,1.3.6.1.2.1.34.46,Administrative status of interface,WiFi,Down,Up,948414674,229614744,204,637
ifMetric_615e884e,1.3.6.1.2.1.79.35,High-capacity counter for inbound traffic,Loopback,Testing,Unknown,715470818,305911774,774,731
ifMetric_a6796c67,1.3.6.1.2.1.61.37,High-capacity counter for inbound traffic,PPP,Up,Unknown,921504131,837446298,441,780
ifMetric_f12778ca,1.3.6.1.2.1.40.52,MAC address of interface,Loopback,Down,Down,393039271,145558735,721,231
ifMetric_6314949f,1.3.6.1.2.1.98.18,Counter for outbound errors,Loopback,Down,Unknown,121329765,475223196,764,215
ifMetric_0c84bc43,1.3.6.1.2.1.47.78,Counter for outbound errors,PPP,Testing,Down,300172697,53391089,835,767
ifMetric_0cfd4cda,1.3.6.1.2.1.79.39,Operational status of interface,WiFi,Down,Up,69286825,683090818,799,713
ifMetric_7eb3cecd,1.3.6.1.2.1.7.41,MAC address of interface,Ethernet,Up,Unknown,862493398,929725543,308,325
ifMetric_71dd246a,1.3.6.1.2.1.45.75,Counter for outbound errors,WiFi,Up,Down,381913360,259698836,7,547
ifMetric_26e72c29,1.3.6.1.2.1.66.2,Operational status of interface,Ethernet,Up,Unknown,543289078,91555114,307,895
ifMetric_bf8e7d24,1.3.6.1.2.1.34.37,Inbound traffic errors,WiFi,Testing,Unknown,663630629,645511264,968,559
ifMetric_887536b1,1.3.6.1.2.1.25.59,MAC address of interface,PPP,Testing,Down,696707750,121392256,153,827
ifMetric_cb3be1ab,1.3.6.1.2.1.94.83,Administrative status of interface,PPP,Up,Unknown,359078460,528399036,372,267
ifMetric_44e9c574,1.3.6.1.2.1.40.83,High-capacity counter for inbound traffic,ATM,Up,Up,645849963,957828483,913,18
ifMetric_56138b2b,1.3.6.1.2.1.48.61,Administrative status of interface,Ethernet,Up,Unknown,652078687,612502382,227,736
ifMetric_43064a07,1.3.6.1.2.1.38.84,High-capacity counter for inbound traffic,ATM,Testing,Unknown,876281687,204042006,386,311
ifMetric_724be87a,1.3.6.1.2.1.89.31,Operational status of interface,PPP,Testing,Up,404614282,493428477,862,695
ifMetric_98036193,1.3.6.1.2.1.21.15,MAC address of interface,WiFi,Testing,Unknown,198181639,245519733,477,192
ifMetric_8448f225,1.3.6.1.2.1.32.71,Administrative status of interface,PPP,Down,Unknown,916809100,467848848,860,174
ifMetric_14384016,1.3.6.1.2.1.28.23,Operational status of interface,WiFi,Up,Unknown,807583347,888817781,942,213
ifMetric_2aabcbc6,1.3.6.1.2.1.38.68,Operational status of interface,WiFi,Down,Down,761796047,461381093,42,401
ifMetric_bc814d86,1.3.6.1.2.1.79.74,MAC address of interface,PPP,Down,Up,559245248,925448280,459,734
ifMetric_256499d9,1.3.6.1.2.1.50.74,High-capacity counter for inbound traffic,ATM,Testing,Down,57319695,363737136,741,839
ifMetric_5712f2cf,1.3.6.1.2.1.80.50,Administrative status of interface,Ethernet,Testing,Unknown,635320739,400257555,982,29
ifMetric_6c4e9360,1.3.6.1.2.1.9.28,High-capacity counter for inbound traffic,Loopback,Up,Down,12510503,552712465,956,699
ifMetric_efb50b7d,1.3.6.1.2.1.78.99,Inbound traffic errors,Loopback,Down,Up,637486760,34183218,612,753
ifMetric_e1fc5bd7,1.3.6.1.2.1.67.88,High-capacity counter for inbound traffic,Loopback,Up,Up,340769953,356141017,714,625
ifMetric_8ba186af,1.3.6.1.2.1.22.70,Inbound traffic errors,ATM,Up,Up,42517392,18630413,819,615
ifMetric_e1433d42,1.3.6.1.2.1.12.65,Operational status of interface,PPP,Down,Unknown,437800141,859379847,968,914
